Unique Downloads,Mod Rewards,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,Cumulative Downloads,Cumulative Rewards,Year,Quarter,Month_Name,Month_Num,Downloads Outlier_IQR,Rewards Outlier_IQR,Downloads Outlier_ZScore,Rewards Outlier_ZScore,Downloads Outlier,Rewards Outlier,Month
77014,76819,81348.66666666667,71380.83333333333,81132.33333333333,71078.0,4227.886745566039,4219.834396434679,-9.884040673523597,-9.891850044573737,2126237,2050036,2024,3,August,8,False,False,False,False,False,False,2024-08-01
65379,65215,75951.33333333333,69103.33333333333,75762.0,68848.33333333333,10083.086151240252,10060.232551984069,-15.107642766250295,-15.105637928116744,2191616,2115251,2024,3,September,9,False,False,False,False,False,False,2024-09-01
60127,59995,67506.66666666667,71710.0,67343.0,71479.33333333333,8642.217095938573,8611.50579167197,-8.033160494960157,-8.004293490761327,2251743,2175246,2024,4,October,10,False,False,False,False,False,False,2024-10-01
55103,54974,60203.0,70775.83333333333,60061.333333333336,70596.83333333333,5138.421547518237,5120.822232155031,-8.35564721339831,-8.369030752562711,2306846,2230220,2024,4,November,11,False,False,False,False,False,False,2024-11-01
48556,48477,54595.333333333336,65273.333333333336,54482.0,65122.0,5802.180997981122,5774.740600234777,-11.881385768469954,-11.818314112125726,2355402,2278697,2024,4,December,12,False,False,False,False,False,False,2024-12-01
56692,56602,53450.333333333336,60478.5,53351.0,60347.0,4312.436009187063,4298.779245320689,16.755910701046204,16.76052561008312,2412094,2335299,2025,1,January,1,False,False,False,False,False,False,2025-01-01
59790,59701,55012.666666666664,57607.833333333336,54926.666666666664,57494.0,5802.224515936382,5796.516223848015,5.464615818810414,5.475071552241961,2471884,2395000,2025,1,February,2,False,False,False,False,False,False,2025-02-01
52050,51910,56177.333333333336,55386.333333333336,56071.0,55276.5,3895.5822842462385,3922.5490436704463,-12.945308580030101,-13.050032662769473,2523934,2446910,2025,1,March,3,False,False,False,False,False,False,2025-03-01
55143,54991,55661.0,54555.666666666664,55534.0,54442.5,3895.913628406028,3923.7809571891157,5.942363112391935,5.935272587170104,2579077,2501901,2025,2,April,4,False,False,False,False,False,False,2025-04-01
54348,54196,53847.0,54429.833333333336,53699.0,54312.833333333336,1606.210758275472,1599.4989840571743,-1.4417061095696626,-1.4456911130912298,2633425,2556097,2025,2,May,5,False,False,False,False,False,False,2025-05-01
44106,43970,51199.0,53688.166666666664,51052.333333333336,53561.666666666664,6155.5660178410835,6146.347723106242,-18.845219695296976,-18.868551184589265,2677531,2600067,2025,2,June,6,False,False,False,False,False,False,2025-06-01
33149,33037,43867.666666666664,49764.333333333336,43734.333333333336,49634.166666666664,10601.509436553528,10581.468439367634,-24.84242506688432,-24.864680463952695,2710680,2633104,2025,3,July,7,False,False,False,False,False,False,2025-07-01
31906,31854,36387.0,45117.0,36287.0,44993.0,6713.67879779785,6679.913098237132,-3.7497360403028757,-3.580833610800016,2742586,2664958,2025,3,August,8,False,False,False,False,False,False,2025-08-01
33281,33224,32778.666666666664,41988.833333333336,32705.0,41878.666666666664,758.6279281266926,742.8950127709837,4.309534256879588,4.300872731839012,2775867,2698182,2025,3,September,9,False,False,False,False,False,False,2025-09-01
38332,38267,34506.333333333336,39187.0,34448.333333333336,39091.333333333336,3383.7036414753848,3377.260181468601,15.17682761936241,15.178786419455825,2814199,2736449,2025,4,October,10,False,False,False,False,False,False,2025-10-01
44487,44422,38700.0,37543.5,38637.666666666664,37462.333333333336,5612.05639672308,5608.1945698534155,16.05708024626944,16.084354665900126,2858686,2780871,2025,4,November,11,False,False,False,False,False,False,2025-11-01
