Month,Downloads,Mod Rewards,Your Reward,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,YourReward MA_3,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,YourReward Growth %,Downloads YoY Growth %,Rewards YoY Growth %,Rewards per Download,YourReward per Download,YourReward Share %,Rolling Correlation,Cumulative Downloads,Cumulative Rewards,Cumulative YourReward,Year,Quarter,Month_Name,Month_Num,Downloads Outlier,Rewards Outlier,YourReward Outlier
2023-11-01,117985,117424,117424,98378.0,70400.33333333333,97848.0,69712.16666666667,97848.0,31705.72877257358,31774.623648439963,2.284351972258336,2.1664607513877554,2.1664607513877554,171.8986933376351,183.22921440459248,0.9952451582828326,0.9952451582828326,100.0,0.9999978363223122,1391717,1318845,1318845,2023,4,November,11,True,True,True
2023-12-01,113373,112906,112906,115569.33333333333,82625.83333333333,115088.0,82004.33333333333,115088.0,2313.809917286544,2262.933494382952,-3.9089714794253494,-3.8475950401962167,-3.8475950401962167,186.8822591664769,199.34248899729573,0.9958808534659928,0.9958808534659928,100.0,0.9999979750769037,1505090,1431751,1431751,2023,4,December,12,True,True,True
2024-01-01,105503,104948,104948,112287.0,92114.66666666667,111759.33333333333,91539.83333333333,111759.33333333333,6311.4679750435425,6316.5478968605585,-6.941688056239137,-7.048341097904453,-7.048341097904453,185.62958551046376,205.71237146435956,0.9947394860809645,0.9947394860809645,100.0,0.9999979499044919,1610593,1536699,1536699,2024,1,January,1,True,True,True
2024-02-01,87359,86869,86869,102078.33333333333,100228.16666666667,101574.33333333333,99711.16666666667,101574.33333333333,13340.850997343967,13342.322224160735,-17.197615233690033,-17.22662651980028,-17.22662651980028,190.91544839988012,204.72866313537028,0.9943909614349982,0.9943909614349982,100.0,0.9999963745843635,1697952,1623568,1623568,2024,1,February,2,False,False,False
2024-03-01,79044,78593,78593,90635.33333333333,103102.33333333333,90136.66666666667,102612.33333333333,90136.66666666667,13530.352557614064,13477.935314184197,-9.518195034283817,-9.526988914342283,-9.526988914342283,191.89069423929098,203.37759592372424,0.9942943170892161,0.9942943170892161,100.0,0.9999938751159588,1776996,1702161,1702161,2024,1,March,3,False,False,False
2024-04-01,44487,44209,44209,70296.66666666667,91291.83333333333,69890.33333333333,90824.83333333333,69890.33333333333,22735.192463080966,22622.360737406107,-43.718688325489595,-43.74944333464812,-43.74944333464812,67.72357110541395,72.04623287671232,0.9937509834333625,0.9937509834333625,100.0,0.9999986481300017,1821483,1746370,1746370,2024,2,April,4,False,False,False
2024-05-01,60708,60269,60269,61413.0,81745.66666666667,61023.666666666664,81299.0,61023.666666666664,17289.2837040752,17204.418192235775,36.46233731202373,36.32744463796964,36.32744463796964,68.3760920815421,71.75548589341693,0.9927686631086512,0.9927686631086512,100.0,0.999997942658104,1882191,1806639,1806639,2024,2,May,5,False,False,False
2024-06-01,81571,81326,81326,62255.333333333336,76445.33333333333,61934.666666666664,76035.66666666667,61934.666666666664,18590.358908136594,18614.477063117654,34.366146142188846,34.93835968740149,34.93835968740149,103.8255872063968,107.71332975761756,0.9969964815927229,0.9969964815927229,100.0,0.999989870859154,1963762,1887965,1887965,2024,2,June,6,False,False,False
2024-07-01,85461,85252,85252,75913.33333333333,73105.0,75615.66666666667,72753.0,75615.66666666667,13311.072320941434,13434.787022254328,4.768851675227714,4.8274844453188415,4.8274844453188415,75.95429277331687,78.59432282392373,0.9975544400369759,0.9975544400369759,100.0,0.999974472507804,2049223,1973217,1973217,2024,3,July,7,False,False,False
2024-08-01,77014,76819,76819,81348.66666666667,71380.83333333333,81132.33333333333,71078.0,81132.33333333333,4227.886745566039,4219.834396434679,-9.884040673523597,-9.891850044573737,-9.891850044573737,99.11577641036249,103.00467746624031,0.997467992832472,0.997467992832472,100.0,0.9999752589642936,2126237,2050036,2050036,2024,3,August,8,False,False,False
